Gene symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation_Aged_by_young,GSM9085542_OPC.1,GSM9085543_OPC.2,GSM9085544_OPC.3,GSM9085545_OPC.4,GSM3967160_young1,GSM3967161_young2,GSM3967162_young3,GSM3967163_Aged.1,GSM3967164_Aged.2,GSM3967165_Aged.3,GSM3929171_Aged.5,GSM3929172_Aged.6,GSM3929170_Aged.4
Kntc1,157.2235385,-2.136126242,0.506228054,-4.21969155,2.45E-05,0.000836904,DOWN,8.465499588,8.039636492,8.334434154,8.504682761,8.145483221,7.179964442,7.242900834,6.068122384,6.371652456,6.164579528,6.985504632,6.363278186,8.232773991
Baiap2,296.0650958,0.7537009,0.235500208,3.200425619,0.001372248,0.017754526,UP,8.551333399,8.478144414,8.061224959,8.103701894,7.513773098,7.879311903,8.035929089,8.372087329,8.438177381,8.567161475,9.124024547,8.95674083,8.5774452
Spc24,35.13804232,-1.615986424,0.554333198,-2.915189692,0.003554724,0.035548032,DOWN,6.510468737,6.409980008,6.567249415,7.333217224,6.804745443,6.130687053,6.016562693,5.636506035,5.655286649,5.645162629,5.827161447,5.463552288,4.584621216
Sp9,65.73420859,-4.409354236,0.856329084,-5.149135205,2.62E-07,2.11E-05,DOWN,7.132764909,6.590145927,6.714779989,7.644922404,8.217071136,7.219558983,6.830905298,5.433292309,5.560002105,4.584621216,5.827161447,5.653216858,5.311071597
Cdca8,72.80038094,-1.386371482,0.379759702,-3.650654546,0.000261573,0.005238903,DOWN,7.07791477,7.239270021,7.364105013,7.270123633,7.464650336,6.678036816,6.531849786,6.14939398,6.223633372,6.054100816,6.568582383,6.864491524,6.615247565
Draxin,48.30269119,-3.77326998,0.574131221,-6.572138642,4.96E-11,1.46E-08,DOWN,7.020749142,6.472963009,6.605753338,7.470116975,7.499913968,6.875577592,6.322762866,5.22366793,5.327817769,5.353291375,5.702477535,5.210847643,5.818274787
Tiam2,351.8790593,-1.489504984,0.310561339,-4.796170027,1.62E-06,9.57E-05,DOWN,8.794162345,8.540856757,8.941788499,9.184280127,9.743287326,9.071756617,8.788116362,8.003617554,7.999678114,7.835065965,7.469422188,7.718207412,8.320015567
Dlx5,128.1181877,-3.361052869,0.653061306,-5.146611562,2.65E-07,2.13E-05,DOWN,8.323362098,7.808592491,7.564146426,8.091777452,8.918906178,7.680027817,7.273240066,6.068122384,6.054138135,5.659551088,4.584621216,5.463552288,6.615247565
Parpbp,31.52176902,-1.894611526,0.552095173,-3.431675584,0.000599865,0.009657135,DOWN,6.510468737,6.617823706,7.364105013,6.687466003,6.29308801,6.027998584,5.685169864,5.416609898,5.413318621,5.214669003,5.558515763,4.584621216,5.601673458
Mms22l,86.38544147,-1.633487687,0.430100554,-3.797920445,0.000145915,0.003355027,DOWN,7.733389922,7.306282195,7.654344098,7.010156857,7.750062964,7.182830966,6.978541454,6.389717515,6.21778079,6.281366893,5.558515763,6.448210971,6.878430559
Hmgb2l1,701.8699947,-1.25663182,0.310215417,-4.050836131,5.10E-05,0.001451145,DOWN,9.659533051,9.664340737,9.661206303,10.16831306,10.34710921,9.593182265,9.444228726,8.65119546,8.818228019,8.595002367,9.994675752,9.08453424,9.183261848
Pask,67.16016071,-2.258499161,0.525699117,-4.296182149,1.74E-05,0.000642408,DOWN,7.273131702,6.722934674,7.87984966,7.470116975,6.912483412,6.429487451,6.107370335,5.661980264,5.525748762,5.353291375,6.294758929,6.527695435,7.226625823
Dlx6as,258.1101852,-2.598441349,0.414146683,-6.274205383,3.51E-10,7.21E-08,DOWN,8.623016314,8.773193714,8.948843876,8.935019479,9.575272924,8.539645656,8.105280828,6.81513087,6.755230317,6.881208993,7.437673073,6.271964814,6.955642279
Cdkn3,38.87303381,-1.976217611,0.541987217,-3.646243948,0.000266101,0.005301848,DOWN,6.882475543,6.617823706,6.714779989,7.086126801,6.861564785,6.218827818,6.179782067,5.541074666,5.837356899,5.239970341,5.384695381,5.809781955,5.818274787
Clspn,73.69544211,-2.937390897,0.516216407,-5.690231576,1.27E-08,1.57E-06,DOWN,7.715851833,7.168814848,7.636763377,7.353622817,7.443054827,6.644140094,6.426978394,5.623493522,5.47774293,5.393838743,5.827161447,6.448210971,7.097891243
Eomes,79.0071402,-1.888130963,0.405717233,-4.653810116,3.26E-06,0.000165065,DOWN,7.297178029,7.036006273,6.878379163,7.740206264,7.561223313,7.339602029,7.250548712,5.952713716,6.019748796,6.538186923,5.938038808,6.363278186,6.514067012
Kif18a,84.44204912,-2.096322171,0.36570858,-5.73222037,9.91E-09,1.27E-06,DOWN,7.496614662,7.726374827,7.771606234,7.560252727,7.386289618,6.661199863,6.624600113,5.757406328,5.812123377,5.875748152,6.940045788,6.271964814,6.796447873
Kif15,201.6298134,-1.079053652,0.367094009,-2.939447733,0.003287977,0.033534985,DOWN,8.401650314,8.471003529,8.301632535,8.728292795,8.429440903,7.802579484,7.442465791,7.178397876,6.998170333,7.18532256,6.892986095,7.749727853,8.139838383
St8sia2,23.32324532,-2.958849716,0.86927669,-3.403806579,0.000664538,0.010351557,DOWN,6.163598207,6.308990703,6.527540518,6.346178867,6.608810989,5.984098689,5.939529487,5.345827344,5.312496699,4.584621216,5.384695381,4.584621216,5.818274787
Slc17a6,39.40138303,-1.817199448,0.610466025,-2.976741333,0.002913297,0.030660677,DOWN,6.349423836,6.472963009,7.130114922,6.509389295,6.338675774,6.429487451,6.264364747,5.569433055,5.582091518,5.537297625,5.827161447,5.210847643,7.163776758
Rasgrp3,5691.157966,0.770264163,0.180566831,4.265812036,1.99E-05,0.0007123,UP,13.1127749,12.75913184,12.5026276,12.74504044,11.53837826,11.99724348,11.96910788,12.65417,12.65016665,12.52866423,12.54942025,12.3444183,12.31609993
AC099089.1,403.5339017,-1.002233397,0.359570761,-2.787305046,0.005314842,0.04650433,DOWN,9.095301838,8.79047945,8.438628799,8.993559557,8.69247266,8.168906029,7.707622608,7.266512727,7.682882911,7.320550296,10.10793043,9.915659871,8.966982035
Mllt11,302.5026136,-1.23065833,0.192806921,-6.382853503,1.74E-10,3.94E-08,DOWN,8.939588829,9.121481281,8.687059546,9.249745327,8.940123169,8.763622473,8.696155199,7.799634875,7.831164306,7.618773196,7.072056219,7.226580365,7.553294303
Ns5atp9,53.20256097,-2.682605242,0.534105708,-5.02261107,5.10E-07,3.60E-05,DOWN,7.146138436,6.796537799,7.051316303,7.181221641,7.670168833,6.875577592,6.214351295,5.649332692,5.645190604,5.67371607,5.15393544,5.210847643,5.818274787
Enc1,488.4972531,-1.731528871,0.298345792,-5.803765028,6.48E-09,8.87E-07,DOWN,9.556212839,9.378975141,8.976723757,9.919788556,9.993137007,9.565648118,9.193566194,8.178478855,8.246799262,7.729741047,8.399797356,8.081542621,8.171496076
Dio1,33.17654629,3.31209067,0.824893358,4.015174372,5.94E-05,0.001644999,UP,7.273131702,7.460827181,5.48351862,6.873134735,5.028474882,5.050569539,5.103714523,6.275619683,5.940037594,5.840878035,4.584621216,4.584621216,5.818274787
Chrm4,54.39845234,-2.290789336,0.414946156,-5.520690588,3.38E-08,3.60E-06,DOWN,7.146138436,6.866235772,6.815359841,7.373731472,7.308566432,6.582577933,6.587470334,5.569433055,5.80356877,5.71495532,6.038385492,6.17304374,5.818274787
Dscc1,49.87673231,-1.390875389,0.428389714,-3.246752531,0.001167298,0.015776142,DOWN,7.309045501,6.561853531,6.938541489,7.312505408,6.572279699,6.21274931,6.191419666,5.833799486,5.571117989,5.701410218,6.130351901,5.944966993,6.796447873
Zfhx4,322.1085564,-1.525266251,0.339913104,-4.487224031,7.22E-06,0.000321687,DOWN,9.105328487,9.089285922,9.252255502,9.327596813,8.793921151,8.572038932,8.233329431,7.113886205,7.58079285,7.181368998,7.23016875,8.056674873,8.712248724
Kif20b,107.202757,-2.878882327,0.562992971,-5.113531564,3.16E-07,2.41E-05,DOWN,8.051886117,7.853506686,7.966454777,8.343546346,7.495263449,7.16843779,6.527468238,5.904807098,5.592927414,5.239970341,6.130351901,6.17304374,7.344296183
Brca1,165.0906614,-1.155143134,0.384657472,-3.003043534,0.002672942,0.028718823,DOWN,7.93597435,8.105896399,8.210282344,8.421642991,8.303746876,7.494147856,7.302924237,6.982964135,6.680744859,7.061418074,7.530826428,6.864491524,7.970014969
